campaign_id,campaign_name,channel_id,campaign_manager,start_date,end_date,budget,campaign_type,target_segment,target_country
109,Prospecting Retention Sale 2024,14,Derek Lowe,2019-07-12,2019-08-28,1083.76,Retention,New,United Arab Emirates
110,NewYear Acquisition Drive 2024,4,Jon Thomas,2020-06-05,2020-08-07,3150.24,Acquisition,All,Indonesia
111,Clearance Awareness Promo 2022,6,Levi Stewart,2021-01-24,2021-04-04,6238.94,Awareness,New,Netherlands
112,Spring Acquisition Campaign 2023,12,Eric Dodson Jr.,2021-05-08,2021-07-24,42914.25,Acquisition,New,Egypt
113,Retarget Brand Promo 2020,12,Judy Lopez,2021-07-05,2021-07-15,4848.08,Brand,Returning,Canada
114,Flash Awareness Promo 2019,1,Eric Smith MD,2022-08-27,2022-11-21,2491.12,Awareness,Returning,Japan
115,Holiday Awareness Drive 2024,13,David Zuniga,2024-10-04,2024-10-11,3384.43,Awareness,VIP,Egypt
116,Holiday Awareness Campaign 2019,3,,2020-06-18,2020-08-28,1660.47,Awareness,Churned,Japan
117,Launch Awareness Promo 2020,2,Stephanie Allen,2024-11-02,2025-01-26,16169.61,Awareness,New,Brazil
118,LOYALTY CONVERSION DRIVE 2019,11,Tammy Bell,2023-10-12,2023-11-10,1216.06,Conversion,Churned,Egypt
119,NewYear Acquisition Drive 2021,6,Charles Torres,2022-03-18,2022-04-12,7820.22,Acquisition,New,Egypt
120,Summer Awareness Sale 2021,7,Christine Harris,2023-10-07,2023-12-15,15523.91,Awareness,Churned,Philippines
121,Flash Awareness Drive 2023,1,Angel Kent,2021-02-07,2021-04-25,10737.25,Awareness,New,Canada
122,Prospecting Retention Campaign 2021,9,Kimberly Jensen,2024-03-27,2024-05-06,11306.81,Retention,New,Brazil
123,BlackFriday Brand Push 2024,8,Chase Wolf,2022-03-06,2022-04-09,7931.46,Brand,All,India
124,BlackFriday Conversion Drive 2021,10,Sandra Kim,2022-12-06,2023-01-29,2457.93,Conversion,Returning,United States
125,Clearance Retention Campaign 2024,1,Felicia Henry,2019-05-28,2019-06-24,1821.36,Retention,VIP,United Arab Emirates
126,Spring Acquisition Promo 2024,1,Caitlin Edwards,2022-11-12,2022-11-20,2838.97,Acquisition,New,Nigeria
127,NewYear Retention Promo 2020,4,Debra Smith,2024-06-18,2024-08-14,3088.11,Retention,Returning,Japan
128,Launch Retention Promo 2020,2,Richard White,2020-12-07,2021-02-26,6555.7,Retention,New,Global
129,Prospecting Brand Push 2021,3,Connie Costa,2023-01-14,2023-02-18,9881.55,Brand,VIP,United Arab Emirates
130,Winter Awareness Sale 2019,14,Isaiah Hall Jr.,2024-05-07,2024-05-18,7786.9,Awareness,Churned,United Kingdom
131,Retarget Retention Sale 2024,11,James Smith,2023-02-05,2023-03-15,33552.65,Retention,New,Global
132,Launch Brand Campaign 2020,13,,2022-07-20,2022-08-28,5156.34,Brand,Returning,United States
133,Winter Awareness Campaign 2023,3,,2023-06-09,2023-08-11,3122.96,Awareness,Returning,France
134,BlackFriday Awareness Promo 2021,10,Mary Rodriguez,2024-11-16,2025-01-20,15476.35,Awareness,VIP,Philippines
135,Clearance Brand Promo 2024,9,Alexis Hale,2023-08-02,2023-10-20,2956.42,Brand,Returning,Canada
136,Prospecting Brand Drive 2024,3,Jason Fletcher,2024-06-02,2024-08-02,2326.72,Brand,VIP,Australia
137,Holiday Awareness Push 2019,7,Christine Harris,2021-07-22,2021-08-20,7715.12,Awareness,New,France
138,NewYear Conversion Drive 2022,8,Richard White,2020-07-23,2020-08-08,5650.13,Conversion,VIP,Netherlands
139,Prospecting Awareness Drive 2023,8,,2021-07-06,2021-07-13,6683.05,Awareness,At-Risk,Germany
140,Spring Conversion Push 2021,2,Chase Wolf,2022-07-26,2022-10-11,41886.03,Conversion,New,Australia
141,Prospecting Retention Push 2022,4,Yvette House,2022-10-01,2022-12-29,1729.33,Retention,Churned,Australia
142,Launch Conversion Sale 2019,2,Rebecca Simmons,2021-06-28,2021-09-16,13693.3,Conversion,At-Risk,United States
143,Loyalty Conversion Sale 2024,11,Angel Kent,2024-08-12,2024-09-01,5426.91,Conversion,New,South Africa
144,Launch Acquisition Promo 2020,7,Charles Torres,2022-07-03,2022-09-18,5112.05,Acquisition,Churned,Canada
145,NewYear Brand Drive 2021,12,Isaiah Hall Jr.,2021-04-29,2021-07-04,1437.28,Brand,All,Nigeria
146,Flash Awareness Drive 2022,3,,2024-03-28,2024-04-09,8582.02,Awareness,All,United Kingdom
147,Holiday Conversion Campaign 2021,13,Dominic Bennett,2024-07-15,2024-10-07,13300.76,Conversion,Returning,Canada
148,Loyalty Retention Push 2019,9,Jessica Sanford,2020-09-05,2020-11-25,4565.68,Retention,At-Risk,Australia
149,BlackFriday Brand Promo 2019,13,Donna Nelson,2021-07-21,2021-09-05,771.56,Brand,New,Germany
150,Spring Acquisition Campaign 2023,9,Robert Massey,2024-02-02,2024-02-09,11142.8,Acquisition,New,Australia
151,Loyalty Acquisition Promo 2022,9,Dominic Bennett,2023-12-13,2024-01-05,3508.13,Acquisition,All,Brazil
152,Summer Acquisition Promo 2022,3,Derek Lowe,2021-11-14,2021-12-26,4308.28,Acquisition,VIP,Nigeria
153,Prospecting Acquisition Push 2019,5,Mary Rodriguez,2022-06-28,2022-09-10,17515.57,Acquisition,All,Germany
154,,2,Eric Dodson Jr.,2020-02-18,2020-03-21,6820.08,Retention,All,United States
155,Prospecting Acquisition Sale 2021,11,Debra Smith,2021-11-06,2021-11-17,4730.38,Acquisition,All,India
156,Prospecting Conversion Push 2024,1,Connie Costa,2023-04-20,2023-05-13,12388.09,Conversion,Returning,Netherlands
157,Spring Conversion Sale 2019,8,,2022-08-03,2022-09-26,28127.29,Conversion,All,India
158,Launch Acquisition Sale 2022,1,Christine Harris,2024-11-02,2024-12-21,4622.24,Acquisition,New,Italy
159,Holiday Retention Sale 2022,5,Eric Smith MD,2019-07-15,2019-07-29,2455.43,Retention,VIP,Indonesia
160,Clearance Retention Campaign 2019,4,James Smith,2024-03-11,2024-05-07,3142.74,Retention,Churned,Germany
161,Holiday Brand Push 2024,10,Jason Fletcher,2019-10-11,2019-10-27,1954.29,Brand,All,United States
162,Loyalty Acquisition Sale 2022,11,,2024-11-05,2024-11-21,4794.87,Acquisition,At-Risk,Japan
163,Summer Brand Push 2022,7,Angela Dillon,2023-10-31,2024-01-13,3127.57,Brand,Returning,Germany
164,BlackFriday Awareness Push 2022,13,Caitlin Edwards,2021-12-04,2022-02-18,7082.39,Awareness,VIP,Canada
165,Flash Retention Push 2024,10,Mark Harris,2019-06-16,2019-09-03,8013.06,Retention,New,India
166,Clearance Retention Sale 2022,2,Jessica Sanford,2023-06-29,2023-07-13,14223.57,Retention,VIP,Spain
167,Flash Conversion Campaign 2023,9,Kevin Morris,2023-01-08,2023-01-20,50435.71,Conversion,At-Risk,Brazil
168,Spring Retention Sale 2021,12,Willie Bowers,2024-11-24,2025-02-04,3115.28,Retention,At-Risk,Egypt
169,BlackFriday Awareness Drive 2019,6,Samuel Smith,2020-11-06,2020-12-15,3430.95,Awareness,VIP,Global
170,Flash Retention Campaign 2023,1,Michael Lawrence,2023-04-06,2023-05-22,7757.44,Retention,Churned,India
171,Loyalty Acquisition Campaign 2023,12,James Smith,2023-01-01,2023-01-09,4633.0,Acquisition,VIP,Global
172,Spring Retention Campaign 2021,10,,2019-10-02,2019-10-25,3748.79,Retention,Returning,Spain
173,Winter Retention Sale 2023,3,,2019-01-20,2019-02-14,5082.55,Retention,VIP,India
174,Retarget Retention Push 2020,13,Robert Jones,2022-03-12,2022-05-01,14608.81,Retention,All,Saudi Arabia
175,BlackFriday Conversion Push 2019,12,Yvette House,2022-11-28,2023-02-08,1425.61,Conversion,Churned,Global
176,Launch Awareness Campaign 2020,15,Eric Dodson Jr.,2019-12-10,2020-03-05,9467.0,Awareness,New,Indonesia
177,Spring Retention Push 2021,15,Elizabeth Hill,2024-05-31,2024-07-16,18017.59,Retention,All,Canada
178,Loyalty Brand Campaign 2024,11,Jon Thomas,2019-09-26,2019-10-31,3074.04,Brand,Returning,Saudi Arabia
179,Spring Acquisition Promo 2022,6,Kevin Morris,2024-02-03,2024-03-04,899.24,Acquisition,VIP,United Kingdom
180,Holiday Brand Push 2024,6,,2021-02-28,2021-04-09,10767.47,Brand,Returning,United Kingdom
181,Winter Acquisition Sale 2019,13,Chase Wolf,2019-06-12,2019-08-04,9396.36,Acquisition,All,South Africa
182,,8,Elizabeth Hill,2019-03-31,2019-05-11,20128.75,Retention,VIP,Netherlands
183,Prospecting Retention Drive 2020,13,Eric Smith MD,2020-08-15,2020-09-25,4247.34,Retention,At-Risk,United Arab Emirates
184,Flash Retention Drive 2024,13,,2021-01-30,2021-03-12,4679.44,Retention,All,Global
185,NewYear Acquisition Push 2019,6,Angel Kent,2023-09-18,2023-11-11,6770.08,Acquisition,Churned,Nigeria
186,Flash Conversion Campaign 2020,14,Mary Rodriguez,2020-01-06,2020-03-29,5085.27,Conversion,Churned,Spain
187,Flash Awareness Push 2022,13,,2020-10-20,2020-12-01,1989.42,Awareness,Returning,Canada
188,BlackFriday Conversion Promo 2021,3,,2024-11-01,2025-01-15,2173.76,Conversion,All,United States
189,Loyalty Conversion Promo 2021,10,,2020-08-07,2020-08-25,18314.35,Conversion,VIP,Australia
190,Loyalty Retention Push 2019,13,Hannah Matthews,2023-01-28,2023-03-23,47692.41,Retention,Churned,Spain
191,Clearance Conversion Push 2020,7,David Zuniga,2019-11-22,2019-12-29,1776.67,Conversion,New,Netherlands
192,,14,Rachel Dickerson,2019-07-22,2019-10-12,6058.84,Conversion,New,Mexico
193,Winter Retention Promo 2021,3,Anthony Rasmussen,2020-12-28,2021-02-06,9455.54,Retention,All,Saudi Arabia
194,Holiday Acquisition Push 2019,10,Christine Harris,2021-05-31,2021-06-21,15198.57,Acquisition,VIP,United Arab Emirates
195,Holiday Conversion Sale 2020,15,,2022-09-28,2022-12-16,3339.71,Conversion,At-Risk,Brazil
196,Holiday Retention Sale 2023,11,,2020-05-24,2020-06-02,9730.31,Retention,New,Saudi Arabia
197,Clearance Awareness Drive 2024,11,Rebecca Prince,2020-04-03,2020-05-25,4353.26,Awareness,Returning,France
198,Winter Awareness Promo 2021,15,Elizabeth Hill,2023-01-05,2023-03-23,1154.44,Awareness,At-Risk,Canada
199,BlackFriday Brand Promo 2023,15,Robert Massey,2019-03-20,2019-04-22,7944.7,Brand,VIP,Mexico
200,Flash Acquisition Drive 2020,12,Miguel Johnston,2019-12-03,2020-02-06,1352.33,Acquisition,VIP,Mexico
201,Summer Retention Sale 2024,14,Yolanda Wallace,2020-02-12,2020-03-14,16690.9,Retention,All,Australia
202,Prospecting Awareness Drive 2024,14,Christine Harris,2019-10-12,2019-12-01,808.31,Awareness,All,France
203,clearance retention campaign 2023,4,Debra Smith,2019-10-05,2019-12-24,11341.48,Retention,At-Risk,Spain
204,Flash Conversion Push 2020,11,Michael Lawrence,2020-06-03,2020-08-08,9302.55,Conversion,New,Germany
205,Retarget Awareness Sale 2022,5,Mary Rodriguez,2022-03-09,2022-06-04,8282.77,Awareness,All,Egypt
206,Clearance Acquisition Drive 2021,14,Daniel Bridges,2024-08-24,2024-09-03,3962.53,Acquisition,VIP,United Arab Emirates
207,Retarget Brand Sale 2022,11,Levi Stewart,2019-02-01,2019-02-11,2293.31,Brand,Returning,Nigeria
208,Prospecting Acquisition Push 2021,14,,2019-04-26,2019-06-11,1793.9,Acquisition,Returning,United Arab Emirates
209,Winter Acquisition Campaign 2024,8,Lori Delgado,2021-12-04,2022-02-26,1414.28,Acquisition,VIP,Brazil
210,Holiday Awareness Campaign 2020,10,Rebecca Simmons,2020-11-08,2021-02-03,2519.53,Awareness,All,Canada
211,,8,,2024-01-22,2024-02-23,4408.91,Acquisition,At-Risk,Indonesia
212,Prospecting Conversion Push 2022,6,Rebecca Simmons,2023-06-24,2023-08-20,20069.76,Conversion,Returning,United States
213,LOYALTY ACQUISITION CAMPAIGN 2020,10,,2023-12-17,2024-01-24,460.61,Acquisition,VIP,France
214,Loyalty Conversion Promo 2022,12,,2019-05-22,2019-06-25,5469.48,Conversion,Returning,France
215,Retarget Acquisition Campaign 2023,3,Connie Costa,2020-08-14,2020-11-07,3659.04,Acquisition,Returning,South Africa
216,Spring Brand Sale 2024,10,Samuel Smith,2019-12-11,2020-02-02,9486.3,Brand,At-Risk,Brazil
217,Holiday Conversion Push 2019,13,Connie Costa,2019-11-02,2020-01-02,4918.98,Conversion,At-Risk,Canada
218,Summer Conversion Campaign 2023,9,Jennifer Obrien,2020-09-03,2020-09-21,11524.14,Conversion,New,Saudi Arabia
219,,8,Felicia Henry,2020-10-04,2020-12-27,5664.59,Awareness,At-Risk,Germany
220,Spring Brand Push 2020,13,Felicia Henry,2023-06-16,2023-06-27,17272.62,Brand,New,United States
221,Spring Awareness Campaign 2021,8,Yvette House,2021-01-18,2021-03-11,2667.1,Awareness,All,Saudi Arabia
222,Retarget Brand Drive 2021,4,Stephanie Allen,2021-11-20,2021-12-20,10344.25,Brand,All,Canada
223,Retarget Retention Campaign 2021,14,Mary Rodriguez,2021-03-08,2021-04-17,4567.28,Retention,Churned,Mexico
224,Clearance Retention Push 2023,13,Hannah Matthews,2023-07-01,2023-09-02,26551.64,Retention,VIP,France
225,Holiday Acquisition Push 2023,3,Mark Harris,2023-05-31,2023-06-27,4138.46,Acquisition,All,South Africa
226,Loyalty Awareness Promo 2024,1,Jon Thomas,2020-04-03,2020-04-29,28801.65,Awareness,VIP,Saudi Arabia
227,Spring Brand Push 2024,11,Richard White,2024-02-17,2024-04-09,678.35,Brand,At-Risk,United Kingdom
228,Loyalty Acquisition Promo 2019,7,Sandra Ayala,2024-07-27,2024-09-19,2154.62,Acquisition,All,United Kingdom
229,Holiday Retention Campaign 2020,15,Scott Taylor,2022-01-18,2022-02-25,987.52,Retention,New,Global
230,Summer Brand Promo 2019,2,,2024-01-22,2024-03-31,5822.02,Brand,VIP,Germany
231,Summer Acquisition Campaign 2023,14,Hunter Woods,2022-10-14,2022-11-30,15058.54,Acquisition,Returning,Saudi Arabia
232,Retarget Awareness Drive 2022,5,,2024-03-20,2024-04-15,6017.22,Awareness,New,Canada
233,Spring Retention Campaign 2021,4,Hunter Woods,2022-08-07,2022-08-21,18218.54,Retention,Churned,Japan
234,Holiday Retention Drive 2020,11,Caitlin Edwards,2021-10-03,2021-12-09,11667.76,Retention,All,Egypt
235,NewYear Awareness Promo 2021,7,Carolyn Schultz,2019-10-29,2020-01-04,9951.85,Awareness,New,Egypt
236,LOYALTY CONVERSION SALE 2022,6,Miguel Johnston,2020-08-06,2020-09-04,6348.31,Conversion,All,Canada
237,Flash Awareness Promo 2024,6,Daniel Bridges,2020-10-15,2020-10-31,1914.85,Awareness,Churned,United Arab Emirates
238,BlackFriday Retention Sale 2019,6,Willie Bowers,2023-08-30,2023-09-17,1024.48,Retention,Churned,Spain
239,Loyalty Acquisition Promo 2020,10,Mark Morgan,2019-07-05,2019-09-20,84.39,Acquisition,At-Risk,Egypt
240,Summer Acquisition Campaign 2024,13,Miguel Johnston,2024-05-14,2024-05-21,1613.42,Acquisition,Returning,United States
