customer_id,first_name,last_name,email,age,gender,country,city,segment,signup_date,preferred_device
52,Kristin,Rodriguez,kristin.rodriguez157@gmail.com,41,Other,Saudi Arabia,Walkermouth,New,2021-02-05,Desktop
53,Lori,Savage,lori.savage812@gmail.com,26,Other,Saudi Arabia,Lake Jamesmouth,At-Risk,2020-09-02,Mobile
54,Chad,Ayala,chad.ayala611@yahoo.com,32,Male,Britain,Frazierside,VIP,2020-12-26,Mobile
55,Anthony,Wiley,anthony.wiley391@yahoo.com,38,Other,India,New Sydney,New,2020-08-04,Mobile
56,Daniel,Hamilton,daniel.hamilton542@hotmail.com,51,Female,United States,Samuelhaven,At-Risk,2019-09-11,Tablet
57,Rachel,Lee,rachel.lee882@gmail.com,39,Male,Germany,Smithside,Returning,2023-02-13,Tablet
58,Shelby,Mclaughlin,shelby.mclaughlin739@gmail.com,45,Male,United Arab Emirates,Ryanmouth,At-Risk,2022-09-27,Tablet
59,Elizabeth,Martinez,elizabeth.martinez907@yahoo.com,39,Other,Mexico,Elizabethmouth,New,2021-05-31,Mobile
60,Kenneth,Martinez,kenneth.martinez788@yahoo.com,40,Other,united states,Byrdburgh,At-Risk,2022-09-10,Mobile
61,Kevin,Kelley,kevin.kelley115@gmail.com,39,Female,United States,Justinchester,New,2023-09-18,Mobile
62,Catherine,Morris,catherine.morris162@yahoo.com,27,Female,India,Lowehaven,VIP,2021-11-02,Desktop
63,Rachel,Flynn,rachel.flynn977@gmail.com,21,Other,United Arab Emirates,West Zacharymouth,New,2019-07-24,Tablet
64,Stephanie,Young,stephanie.young270@yahoo.com,43,Other,Canada,Port James,VIP,2019-02-23,Desktop
65,John,Alvarez,john.alvarez520@gmail.com,47,Male,Mexico,Perryshire,Returning,2020-03-02,Tablet
66,Heather,Snyder,heather.snyder306@gmail.com,40,Other,United States,Lake Grace,Returning,2024-05-09,Tablet
67,Michelle,Mcclure,michelle.mcclure624@yahoo.com,25,Male,Indonesia,East Linda,Returning,2023-03-05,Desktop
68,Steven,Grant,steven.grant383@gmail.com,26,Male,Nigeria,Andersonmouth,Returning,2023-01-02,Tablet
69,Vanessa,Larson,vanessa.larson977@yahoo.com,36,Other,Brazil,Rivasside,Returning,2021-09-03,Desktop
70,Erik,Hensley,erik.hensley614@yahoo.com,53,Female,United Kingdom,Karenview,VIP,2023-08-05,Mobile
71,Adrienne,Sims,adrienne.sims20@yahoo.com,23,Male,Saudi Arabia,Jonesport,Churned,2020-05-28,Mobile
72,Matthew,Orozco,matthew.orozco900@gmail.com,41,Female,south africa,East Jesse,Returning,2023-03-01,Desktop
73,Jasmine,Brown,jasmine.brown60@yahoo.com,41,Male,Philippines,Amychester,At-Risk,2019-05-17,Tablet
74,Marissa,Price,marissa.price970@hotmail.com,35,Male,Canada,Port Nicoleshire,Returning,2021-04-13,Desktop
75,Adam,Bell,adam.bell750@yahoo.com,30,Female,United Kingdom,Medinaside,Returning,2023-10-19,Desktop
76,Rachael,Freeman,rachael.freeman779@yahoo.com,46,Other,Saudi Arabia,Tuckerfurt,VIP,2021-01-06,Desktop
77,Erin,Powell,erin.powell132@gmail.com,25,Other,Brazil,Calhounside,Churned,2019-03-01,Mobile
78,Phillip,Elliott,phillip.elliott970@gmail.com,37,Other,United States,Lake Roymouth,Returning,2020-02-03,Desktop
79,Jorge,Murphy,jorge.murphy272@yahoo.com,40,Other,Japan,Matthewfurt,VIP,2020-09-01,Tablet
80,Stephanie,Fisher,,42,Male,Germany,Smithside,New,2019-04-25,Tablet
81,Stephanie,Walker,stephanie.walker774@gmail.com,42,Other,Netherlands,Port Anthonybury,Churned,2020-03-12,Tablet
82,Andrew,Hernandez,andrew.hernandez206@gmail.com,42,Other,India,Caldwellshire,Returning,2024-09-07,Mobile
83,Steven,Scott,steven.scott409@yahoo.com,42,Other,Japan,New Catherine,At-Risk,2023-06-27,Tablet
84,Danny,Weiss,danny.weiss383@yahoo.com,49,Female,Nigeria,New Anthonyport,Returning,2022-06-15,Tablet
85,Rebecca,Brooks,rebecca.brooks463@hotmail.com,26,Male,Brazil,North Brittany,New,2023-12-25,Desktop
86,John,Terry,john.terry231@yahoo.com,33,Male,Australia,Port Tonyaton,Returning,2021-01-30,Mobile
87,Ross,Wood,ross.wood22@hotmail.com,44,Other,United States,Alexanderchester,New,2023-12-07,Tablet
88,Daniel,Yu,daniel.yu236@hotmail.com,18,Other,ITALY,Zimmermanchester,Returning,2020-01-21,Desktop
89,Aimee,Santos,,36,Male,Spain,Marshallshire,New,2020-08-11,Tablet
90,Melissa,Rivas,melissa.rivas647@gmail.com,23,Male,Brazil,Nicolebury,New,2023-07-03,Desktop
91,Ashley,Barnett,ashley.barnett70@yahoo.com,36,Male,India,South Melissaburgh,Returning,2021-12-04,Mobile
92,Michael,Green,michael.green73@yahoo.com,28,Other,U.A.E.,Angelahaven,Churned,2024-09-08,Desktop
93,Christopher,Cortez,christopher.cortez286@yahoo.com,18,Other,Spain,Lake Thomas,New,2023-04-09,Mobile
94,Shane,Smith,shane.smith220@yahoo.com,38,Other,France,South Heather,New,2020-11-01,Desktop
95,Bonnie,Kennedy,bonnie.kennedy741@hotmail.com,42,Other,France,Ronaldside,New,2020-12-25,Tablet
96,Jacqueline,Nelson,jacqueline.nelson485@yahoo.com,46,Male,United States,North Jennifer,New,2020-11-22,Mobile
97,Julia,Tapia,julia.tapia827@hotmail.com,57,Female,Mexico,East Javier,New,2021-11-26,Desktop
98,Jenny,Bray,jenny.bray97@hotmail.com,40,Male,Philippines,Tinaborough,VIP,2020-10-11,Tablet
99,Michael,Turner,michael.turner442@hotmail.com,61,Female,France,West Brandon,New,2019-04-30,Mobile
100,Kelly,Raymond,kelly.raymond421@hotmail.com,48,Female,Germany,Garciatown,VIP,2022-06-11,Tablet
101,Taylor,Alexander,taylor.alexander56@gmail.com,41,Other,Australia,West Shelleyfort,New,2019-09-07,Tablet
102,Cameron,Vasquez,cameron.vasquez662@hotmail.com,45,Male,AUSTRALIA,East Edwardshire,Returning,2024-09-10,Desktop
103,Christopher,Wright,christopher.wright413@hotmail.com,32,Other,France,Obrienbury,Returning,2023-08-27,Mobile
104,Omar,Kerr,omar.kerr820@yahoo.com,21,Male,Mexico,Torreston,New,2022-08-28,Desktop
105,Jody,Meza,jody.meza197@gmail.com,53,Male,India,West Donna,At-Risk,2019-12-11,Tablet
106,Glenn,Jones,glenn.jones460@gmail.com,18,Male,Mexico,Hayesfort,New,2020-09-30,Mobile
107,Jesse,Mann,jesse.mann188@hotmail.com,38,Female,United States,Jonesbury,Returning,2024-07-17,Mobile
108,Kristin,Weber,kristin.weber256@hotmail.com,28,Male,Saudi Arabia,South Danny,Returning,2020-05-07,Mobile
109,Edward,Baker,edward.baker828@gmail.com,55,Other,AUSTRALIA,North Gabrielport,Returning,2022-07-27,Desktop
110,Madison,Morse,madison.morse52@yahoo.com,21,Other,Saudi Arabia,South Haleyfurt,Returning,2024-08-27,Tablet
111,Vincent,Snyder,vincent.snyder857@gmail.com,39,Male,United States,South Jessicaview,Returning,2019-02-26,Desktop
112,Jeremy,Craig,jeremy.craig949@hotmail.com,28,Male,,Port Emilyview,New,2022-06-16,Desktop
113,Kathryn,Thompson,kathryn.thompson417@hotmail.com,28,Female,United States,Moonburgh,VIP,2024-12-24,Mobile
114,Ryan,Olsen,ryan.olsen219@gmail.com,46,Female,Mexico,Baileymouth,At-Risk,2020-12-04,Desktop
115,Daniel,Martin,daniel.martin169@yahoo.com,45,Female,Canada,Robertsfurt,New,2023-11-18,Desktop
116,Andrea,Gibson,andrea.gibson400@yahoo.com,43,Female,,Marcusfurt,At-Risk,2024-03-10,Mobile
117,Mallory,Smith,mallory.smith293@hotmail.com,35,Female,Germany,Gutierrezborough,At-Risk,2022-02-09,Tablet
118,Cindy,Jimenez,cindy.jimenez981@yahoo.com,37,Other,Germany,East Josephberg,Churned,2024-07-25,Tablet
119,Samuel,Wolfe,samuel.wolfe678@gmail.com,33,Other,EGYPT,Lake Chelseabury,VIP,2023-04-05,Mobile
120,Lance,Smith,lance.smith159@yahoo.com,49,Male,United States,East Victoriaville,,2021-10-08,Mobile
121,David,Collier,david.collier223@yahoo.com,51,Male,Canada,Williamview,At-Risk,2021-06-29,Tablet
122,Timothy,Kennedy,timothy.kennedy754@yahoo.com,36,Other,Germany,South James,New,2022-08-06,Desktop
123,Julie,Taylor,julie.taylor766@gmail.com,39,Female,Philippines,Kendrachester,Returning,2021-01-14,Desktop
124,Kristin,Adams,kristin.adams52@gmail.com,34,Other,Mexico,Jessicashire,Returning,2022-06-24,Mobile
125,Donna,Grimes,donna.grimes515@yahoo.com,23,Other,Mexico,Reedside,VIP,2023-07-30,Desktop
126,Nicholas,Cantu,nicholas.cantu59@gmail.com,21,Other,Spain,New Patrick,At-Risk,2024-02-19,Desktop
127,Robert,Flores,robert.flores872@yahoo.com,35,Male,United States,Hughesberg,Returning,2021-12-21,Desktop
128,Benjamin,Shaw,benjamin.shaw610@hotmail.com,25,Male,France,Mollymouth,At-Risk,2019-08-07,Tablet
129,Renee,Smith,renee.smith883@gmail.com,26,Male,United States,Pittsberg,VIP,2019-06-13,Mobile
130,Kimberly,Baker,kimberly.baker123@hotmail.com,32,Other,Brazil,Santosmouth,New,2024-02-11,Desktop
131,Michele,James,michele.james593@yahoo.com,38,Other,united states,Brennanton,At-Risk,2022-09-14,Desktop
132,Jimmy,Cohen,jimmy.cohen635@yahoo.com,29,Male,Japan,Lake Christopher,New,2024-11-13,Mobile
133,Kathleen,Padilla,kathleen.padilla674@gmail.com,18,Other,Italy,Jacksonport,Churned,2024-06-02,Tablet
134,Brandon,Flynn,brandon.flynn536@yahoo.com,19,Female,Indonesia,Nicholasberg,VIP,2020-06-19,Mobile
135,Robert,Maldonado,robert.maldonado210@gmail.com,27,Other,Spain,East Christian,Returning,2024-03-23,Tablet
136,Christine,Allen,christine.allen322@hotmail.com,33,Male,France,East Steven,Churned,2020-07-10,Mobile
137,Jonathan,Smith,jonathan.smith406@yahoo.com,35,Male,United States,Ericaburgh,Returning,2019-06-11,Tablet
138,Sierra,Huerta,sierra.huerta661@yahoo.com,23,Female,United States,Vaughnmouth,New,2024-01-27,Mobile
139,James,Cruz,james.cruz324@yahoo.com,39,Male,Egypt,East Patrickstad,Returning,2022-06-13,Desktop
140,Victoria,Phillips,victoria.phillips470@hotmail.com,26,Other,Philippines,Hillshire,Returning,2024-03-10,Tablet
141,Kimberly,Beltran,kimberly.beltran103@hotmail.com,44,Male,UK,Wallport,Churned,2023-08-27,Tablet
142,Jerry,Pham,jerry.pham219@gmail.com,31,Other,United States,New John,Churned,2023-07-14,Mobile
143,Katrina,Becker,katrina.becker136@gmail.com,38,Female,United States,Lake Debbieport,Returning,2023-09-24,Desktop
144,Arthur,Diaz,arthur.diaz901@gmail.com,36,Male,Philippines,West Markchester,Returning,2020-01-20,Mobile
145,David,Ryan,david.ryan292@yahoo.com,53,Male,Australia,Mariaview,Returning,2024-06-25,Mobile
146,Sherry,Coffey,sherry.coffey854@yahoo.com,47,Other,Brazil,Lindamouth,Churned,2024-10-10,Tablet
147,Donald,Levy,donald.levy310@hotmail.com,62,Other,Canada,Coffeyside,New,2021-03-12,Tablet
148,Krystal,Smith,krystal.smith542@hotmail.com,26,Male,Australia,South Miguelview,Returning,2022-07-04,Tablet
149,Lynn,Bentley,lynn.bentley837@gmail.com,26,Other,Indonesia,South Angel,Churned,2024-04-21,Mobile
150,Anna,Herman,anna.herman955@gmail.com,37,Other,Japan,Lake Madisonport,Returning,2022-11-23,Desktop
151,Darryl,Williams,darryl.williams962@gmail.com,47,Male,Japan,Wendyville,New,2019-08-01,Mobile
152,Paige,Taylor,paige.taylor119@yahoo.com,29,Male,SOUTH AFRICA,Ellenside,At-Risk,2021-07-07,Tablet
153,Julia,Moore,julia.moore567@yahoo.com,20,Male,  Saudi Arabia  ,Port Tracychester,At-Risk,2024-08-19,Mobile
154,Joshua,Vaughn,joshua.vaughn289@gmail.com,57,Other,United States,Wallacebury,New,2024-02-18,Desktop
155,Cory,Jennings,cory.jennings735@hotmail.com,50,Female,Indonesia,Bruceview,New,2020-02-20,Desktop
156,David,Charles,david.charles704@yahoo.com,30,Other,Brazil,Lake Jasontown,Returning,2019-04-21,Mobile
157,Matthew,Zhang,matthew.zhang518@hotmail.com,34,Female,France,North Maria,New,2022-04-29,Mobile
158,Brenda,Li,brenda.li928@gmail.com,50,Male,UNITED STATES,Kimtown,At-Risk,2020-08-30,Desktop
159,Tracey,Huerta,tracey.huerta650@hotmail.com,36,Female,Spain,Laurenville,Churned,2022-12-19,Mobile
160,Anthony,Smith,anthony.smith46@gmail.com,36,Male,Netherlands,Alfredview,New,2019-04-25,Mobile
161,Judy,Fox,judy.fox790@hotmail.com,23,Male,Philippines,South Shanestad,Returning,2022-01-29,Tablet
162,Daniel,Gordon,daniel.gordon269@hotmail.com,34,Male,U.K.,Lake Kristahaven,VIP,2020-10-22,Tablet
163,Dawn,Johnson,dawn.johnson453@yahoo.com,18,Other,United States,Simmonsville,VIP,2021-12-10,Tablet
164,Renee,Jones,renee.jones438@gmail.com,51,Other,India,Charleneland,At-Risk,2019-10-04,Desktop
165,Claudia,Richards,claudia.richards115@hotmail.com,50,Male,India,Oscarhaven,Returning,2020-10-08,Tablet
166,William,Jordan,william.jordan926@hotmail.com,36,Male,nigeria,Port Dianaside,Returning,2023-04-29,Tablet
167,Jason,Hayes,jason.hayes37@gmail.com,43,Female,Japan,Morganmouth,New,2021-05-23,Tablet
168,Jessica,Edwards,jessica.edwards566@yahoo.com,52,Male,United States,Nicholasberg,New,2023-02-13,Mobile
169,Thomas,Davis,thomas.davis131@gmail.com,48,Male,Germany,South Colinstad,Returning,2023-11-14,Mobile
170,Angela,Willis,,18,Male,South Africa,Elizabethchester,Returning,2021-02-13,Mobile
171,Elizabeth,Christensen,elizabeth.christensen216@hotmail.com,54,Other,France,West Carolinestad,Returning,2019-08-15,Desktop
172,William,Moore,william.moore683@yahoo.com,36,Male,Netherlands,Port Daniel,Churned,2024-01-27,Mobile
173,Michael,Farmer,michael.farmer799@hotmail.com,18,Other,Australia,Port Roy,Churned,2022-05-14,Mobile
174,Katrina,Howell,katrina.howell998@hotmail.com,35,Other,Australia,New Sarahview,Returning,2019-03-05,Tablet
175,Joshua,Farmer,joshua.farmer159@yahoo.com,20,Male,United States,Adamberg,New,2022-05-25,Desktop
176,Richard,Thomas,richard.thomas820@hotmail.com,44,Male,United States,North Julieborough,New,2021-04-04,Mobile
177,Shawn,Moore,shawn.moore26@yahoo.com,40,Male,United Kingdom,Kimberlyshire,Returning,2022-07-30,Tablet
178,Nicole,Moore,nicole.moore947@hotmail.com,24,Female,Nigeria,Lake Christophermouth,Returning,2022-12-21,Mobile
179,Todd,Ramos,todd.ramos822@yahoo.com,24,Other,UK,Port William,New,2021-01-26,Tablet
180,Daniel,Gregory,daniel.gregory831@hotmail.com,42,Male,Britain,Roseport,New,2019-04-10,Mobile
181,Randall,Greene,randall.greene164@gmail.com,34,Other,United Kingdom,West Sierra,Returning,2023-08-09,Desktop
182,Kathryn,Roberts,kathryn.roberts392@gmail.com,23,Male,India,South Julieburgh,VIP,2019-10-11,Mobile
183,Amanda,Hall,amanda.hall228@hotmail.com,27,Male,Nigeria,Charleston,Churned,2021-08-13,Mobile
184,Steve,Miller,steve.miller359@yahoo.com,38,Female,US,Berrychester,New,2020-09-26,Desktop
185,Richard,Burch,richard.burch229@gmail.com,43,Male,United Kingdom,Collierstad,New,2019-07-13,Tablet
186,Megan,Sanchez,megan.sanchez198@hotmail.com,45,Female,GERMANY,Warrenfurt,Returning,2024-03-22,Mobile
187,Julie,Walker,,18,Male,Australia,New Cynthiahaven,VIP,2022-01-22,Mobile
188,Rebecca,Bailey,rebecca.bailey360@hotmail.com,52,Other,united states,East Curtis,New,2020-07-14,Tablet
189,Glenn,Hernandez,glenn.hernandez410@hotmail.com,42,Other,India,East Stephaniefort,Returning,2021-10-13,Tablet
190,Anne,Riley,anne.riley340@hotmail.com,39,Male,  United States  ,Michellemouth,Returning,2019-11-27,Desktop
191,Carlos,Ramos,carlos.ramos899@yahoo.com,18,Female,Canada,Brittanystad,Returning,2022-01-16,Desktop
192,Lance,Hayes,lance.hayes595@gmail.com,38,Female,United States,Marieland,Returning,2022-11-13,Desktop
193,Tiffany,Davis,tiffany.davis112@hotmail.com,28,Other,United States,Fordside,At-Risk,2024-09-21,Mobile
194,Joanne,Williams,joanne.williams354@hotmail.com,23,Other,Brazil,West Cassidy,VIP,2022-01-03,Mobile
195,Susan,Hayes,susan.hayes447@yahoo.com,35,Other,United States,New Debbieton,,2020-06-26,Tablet
196,Samuel,Gonzales,samuel.gonzales119@hotmail.com,53,Female,Brazil,West Nathan,VIP,2020-09-11,Tablet
197,Riley,Morgan,riley.morgan195@hotmail.com,23,Female,Canada,Port Crystalmouth,Returning,2019-05-25,Desktop
198,Cody,Gregory,cody.gregory726@yahoo.com,33,Female,Mexico,Jenniferberg,Returning,2020-12-31,Desktop
199,Brandi,Thomas,brandi.thomas533@yahoo.com,19,Other,united states,Tammyfurt,New,2019-10-10,Tablet
200,Jeanne,Miller,jeanne.miller737@hotmail.com,42,Other,United Kingdom,Schneidermouth,New,2023-11-17,Tablet
201,Elizabeth,Calderon,,28,Male,United Kingdom,Lake Ellenhaven,At-Risk,2021-03-03,Mobile
202,Michael,White,michael.white442@gmail.com,25,Male,United States,Staceyfort,Returning,2020-02-25,Tablet
203,Zoe,Moore,zoe.moore943@yahoo.com,39,Female,USA,New Kellihaven,Returning,2019-03-24,Tablet
204,Matthew,Miranda,matthew.miranda322@gmail.com,35,Other,PHILIPPINES,Mooreburgh,At-Risk,2023-12-27,Desktop
205,Kellie,Lamb,kellie.lamb738@gmail.com,29,Female,U.K.,Williamsstad,VIP,2023-01-21,Tablet
206,John,Wallace,john.wallace317@yahoo.com,45,Other,Saudi Arabia,Youngbury,Returning,2020-11-09,Mobile
207,Lindsey,Harrison,lindsey.harrison335@gmail.com,18,Female,Spain,Erikashire,New,2024-11-26,Tablet
208,STEVEN,Campbell,steven.campbell303@yahoo.com,42,Other,Canada,Burchborough,Returning,2023-10-22,Desktop
209,Devon,Wright,devon.wright197@hotmail.com,18,Female,US,Sawyerside,Returning,2024-08-09,Tablet
210,Jennifer,Black,jennifer.black963@gmail.com,36,Female,,Christopherburgh,Returning,2020-08-20,Tablet
211,Rebecca,Hernandez,rebecca.hernandez767@yahoo.com,35,Male,India,East Lisastad,New,2024-07-31,Tablet
212,Robert,Sanders,robert.sanders583@yahoo.com,21,Female,Germany,South Virginia,New,2021-04-01,Mobile
213,Anthony,Galvan,anthony.galvan562@hotmail.com,48,Male,United Kingdom,Laceyberg,VIP,2019-03-25,Mobile
214,Samantha,Kennedy,samantha.kennedy294@gmail.com,29,Male,Egypt,Westtown,Returning,2024-06-07,Mobile
215,Andrew,Lewis,andrew.lewis805@gmail.com,18,Other,Germany,Rodriguezport,Churned,2020-06-04,Tablet
216,David,Allen,david.allen671@hotmail.com,26,Female,italy,Brownfort,Churned,2022-07-31,Mobile
217,Allen,Robertson,allen.robertson453@gmail.com,40,Female,Saudi Arabia,West Ruben,New,2022-09-09,Tablet
218,John,Butler,john.butler219@hotmail.com,28,Other,United States,New Theresaland,VIP,2024-09-19,Mobile
219,Amy,Hartman,amy.hartman813@hotmail.com,50,Other,USA,South Morganton,At-Risk,2022-10-24,Desktop
220,Tina,King,,39,Male,United Kingdom,Kristinastad,New,2020-06-12,Mobile
221,Diane,Garcia,diane.garcia528@hotmail.com,40,Other,Mexico,Dennisstad,,2022-04-11,Tablet
222,Lisa,Thompson,lisa.thompson635@hotmail.com,30,Female,Germany,Pollardfort,At-Risk,2022-10-16,Desktop
223,  Lisa  ,Brown,lisa.brown839@yahoo.com,50,Male,France,West Jamesborough,Returning,2024-04-24,Tablet
224,Leslie,Collins,leslie.collins318@yahoo.com,31,Male,Australia,Kingborough,Returning,2020-09-18,Desktop
225,Michelle,Williams,michelle.williams151@hotmail.com,36,Male,United Kingdom,Joshuastad,,2021-08-15,Desktop
226,Ricardo,Gonzales,ricardo.gonzales251@yahoo.com,56,Female,Germany,Terrifort,Returning,2023-02-25,Tablet
227,Michael,Salinas,michael.salinas871@yahoo.com,38,Male,United States,Lake Rogerchester,Churned,2022-08-12,Mobile
228,Lynn,Gardner,lynn.gardner425@yahoo.com,45,Other,Mexico,North Markport,Returning,2020-11-02,Tablet
229,Carrie,Simmons,carrie.simmons200@hotmail.com,40,Other,Brazil,Bellton,Returning,2023-05-12,Tablet
230,Rhonda,Mendez,rhonda.mendez394@yahoo.com,31,Female,Nigeria,Danielleton,At-Risk,2019-06-14,Mobile
231,Dana,Cox,dana.cox250@hotmail.com,30,Male,United Kingdom,North Douglas,VIP,2022-08-24,Tablet
232,Kimberly,Johnson,kimberly.johnson705@gmail.com,25,Male,US,Port Deanna,Returning,2021-03-04,Desktop
233,Stacy,Johnson,stacy.johnson798@gmail.com,41,Female,Germany,Rushstad,At-Risk,2021-08-30,Desktop
234,Chase,Taylor,chase.taylor181@yahoo.com,40,Other,United States,Edwardsview,At-Risk,2020-06-30,Tablet
235,Daniel,Fitzgerald,daniel.fitzgerald476@yahoo.com,32,Male,Spain,Mcintyreville,New,2020-07-27,Tablet
236,Jorge,Griffin,jorge.griffin256@hotmail.com,24,Male,United Kingdom,Heatherfort,VIP,2020-03-14,Mobile
237,Derek,Jones,derek.jones137@gmail.com,46,Female,Japan,Osbornmouth,,2023-01-03,Tablet
238,Jenna,Pierce,jenna.pierce544@yahoo.com,52,Other,Britain,Melissaburgh,Returning,2023-10-05,Tablet
239,William,Martinez,william.martinez325@gmail.com,18,Female,AUSTRALIA,East Kristy,Churned,2019-02-27,Tablet
240,Angela,Wood,angela.wood835@hotmail.com,53,Other,united states,New Nicole,Returning,2019-05-25,Tablet
